no,supplier_name,manufacturer_name,iso_existence,target,qms,second_party_audit,supplier_development,automotive_related,departments,transaction_details,address1,address2,postal_code,tel,fax,filename,document_name,issue_date,feedback_date
62,日興運送（株）,運送,ISO9001取得無し,〇,×,△,×,〇,加工課,輸送,茨城県土浦市荒川沖東2-10-34,,300-1171,0298-41-2138,0298-41-1966,,,,
683,日本アレックス㈱,超音波振動子ユニット,ISO9001取得無し,〇,×,×,×,〇,加工課,超音波,,,,,,,,,
983,タイヨー㈱,製品梱包段ボール,ISO9001取得有り,〇,×,△,×,〇,加工課,段ボール,神奈川県厚木市温水1961,,243-0033,046-248-8511,046-247-3357,,,,
447,㈱キーエンス,測定器,ISO9001取得無し,〇,×,×,×,〇,生産技術,自動機部品,海老名市中央2-9-50,海老名プライムタワー13Ｆ,243-0432,046-236-0755,046-236-0766,,,,
130,ミドリ安全厚木㈱,作業着、帽子、安全靴の商社,ISO9001取得無し,×,×,×,×,〇,工場全般,作業,厚木市水引2-11-2,,243-0004,046-223-1771,046-223-6377,,,,
83,リヒト精光（株）,金型パーツの焼き入れ業者,ISO9001取得有り,〇,×,×,×,〇,技術部,熱処理,厚木市下依知1-12-23,,243-0806,046-245-1611,046-245-1610,,,,
141,新共立化工㈱,表面処理ライン保守などのパーツ,ISO9001取得無し,〇,×,×,×,〇,加工課,塩ビ板,埼玉県川口市上青木,2丁目22番6号,333,048-269-2726,048-267-7382,,,,
1062,㈱モノタロウ,部品など,ISO9001取得無し,〇,〇,×,×,〇,工場全般,消耗品,兵庫県尼崎市竹谷町2-183,リベル3階,660-0876,0120-443-509,0120-289-888,,,,
73,双葉電子工業（株）,金型のプレートの購入,ISO9001取得有り,〇,×,×,×,〇,技術部,プレート,東京都墨田区堤通一丁目19番9号,リバーサイド隅田セントラルタワー16階,131-0034,03-3616-1730,03-3616-1731,,,,
140,トヨタエルアンドエフ,フォークリスト、海外出荷用パレット,ISO9001取得有り,〇,×,×,×,〇,加工課,フォークリフト・パレット,厚木市金田６８８－１,,243-0807,046-224-1231,046-224-1237,,,,
549,イースタン技研㈱,ワイヤー電極線,ISO9001取得有り,〇,×,×,×,〇,技術部,消耗品,大和市福田6-9-21,,242-0024,046-268-3131,046-268-2284,,,,
334,東京ワイジェーエス販売,商社　色々なものを購入している,ISO9001取得無し,〇,〇,△,×,〇,技術部,加工機部品,藤沢氏本藤沢3-5-17,,251-0875,0466-80-6160,0466-80-6260,,,,
1053,ＭＩＣＳ化学,製品梱包包装用ビニール,ISO9001取得有り,〇,×,×,×,〇,加工課,ﾋﾞﾆｰﾙ袋,愛知県愛知郡東郷町諸輪北山158-89,-,470-0151,03-3667-6788,03-3667-6789,,,,
464,㈱共立合金製作所,金型用プレート,ISO9001取得有り,〇,×,×,×,〇,技術部,超硬材,,,,0798-26-3606,0798-37-2067,,,,
1047,㈱マルアイ,製品梱包包装用ビニール,ISO9001取得有り,〇,×,×,×,〇,加工課,ﾋﾞﾆｰﾙ袋,-,-,-,-,055-272-4481,,,,
64,日本工作油（株）,プレスオイルなど,ISO9001取得無し,〇,×,×,×,〇,加工課,抜き油、工作油,東京都港区芝5-29-14,田町日工ビル,108,033-455-5511,033-453-2667,,,,
347,共栄研磨材㈱,砥石,ISO9001取得無し,〇,×,×,×,〇,技術部,砥石,大和市大和東３－４－２０,,242-0017,046-261-1610,046-264-2077,,,,
190,ファナック㈱,ワイヤー設備メーカー,ISO9001取得有り,〇,×,×,×,〇,技術部,消耗品,日野市旭が丘３丁目５,,191,0425-84-1111,0425-82-3593,,,,
349,㈱アイコー,表面処理工程用　治具パーツ,ISO9001取得無し,〇,×,×,×,〇,加工課,治具部品,相模原市田名3304－1,,229-1124,042-760-2017,042-760-2014,,,,
525,エィテーケィタカシノ㈱,エジェクターピン,ISO9001取得有り,〇,×,×,×,〇,技術部,金型パーツ,東京都品川区西五反田4-23-13,,141-0031,050-3153-0989,03-6367-0008,,,,
440,フジケース㈱,製品梱包包装用ビニール,ISO9001取得有り,〇,×,△,×,〇,加工課,ウエス,,,,,0463953931,,,,
841,東京フィルター販売㈱,表面処理設備用フィルター,ISO9001取得無し,〇,×,×,×,〇,加工課,フィルタ,東京都世田谷区桜新町2-20-14,,154-0015,03-3425-3351,03-3425-5633,,,,
336,大和石油㈱,切削油　など,ISO9001取得有り,〇,×,△,×,〇,加工課,抜き油、工作油,高座郡寒川町小動８９１－１０,,,0467-74-8861,0467-74-3705,,,,
1076,㈱包研,ストレッチフィルム、PPバンド,ISO9001取得無し,〇,×,×,×,〇,加工課,ストレッチフィルム,福岡市東区松田,1丁目10番16号,812-0064,092-611-5600,092-611-5933,,,,
136,(㈱ツ－ルメ－ルクラブ,金型パーツ,ISO9001取得無し,〇,×,×,×,〇,技術部,工具,東京都大田区大森中１－１８－１６,,143-8533,03-3765-1228,0120-65-1215,,,,
725,東横化学 ㈱,評価用ガス,ISO9001取得有り,〇,×,×,×,〇,加工課,ＰＲガス,神奈川県相模原市中央区宮下2-2-17,,252-0212,042-772-0345,042-773-7668,,,,
779,タツタ環境分析センター,水質分析,ISO9001取得有り,〇,×,×,×,〇,加工課,水質分析,神奈川県茅ヶ崎市茅ヶ崎3丁目3番5号,東邦チタニウム(株)内,253-0041,(0467)87-0967,(0467)84-0235,,,,
536,㈱コードー,三井住友金属鉱山伸銅㈱　C1100R-H　0.80*12　最終購入年月日2018/12/18,ISO9001取得有り,〇,〇,△,×,〇,加工課,材料,,,,,,,,,
475,ソマックス㈱,金型洗浄剤,ISO9001取得無し,〇,×,×,×,〇,技術部,消耗品,,,,（06）6976-1108,（06）6977-5702,,,,
450,㈱山田ドビー,プレス機械メーカー　保守部品等,ISO9001取得有り,〇,×,×,×,〇,加工課,設備,愛知県一宮市玉野下新田35,,494-8511,050-1790-6800,(0586)-69-5664,,,,
526,㈱湘南ワイパーサプライ,ニトリル手袋、ハンドクリーナー等,ISO9001取得無し,×,×,×,×,〇,加工課,ニトリル手袋,神奈川県横浜市泉区上飯田町286番地1,,245-0018,045-803-6155,045-804-6795,,,,
159,コマツ産機㈱,プレス機メーカー　保守部品等,ISO9001取得有り,〇,×,×,×,〇,加工課,消耗品,相模原市中央1-1-1,協栄生命相模原ビル3Ｆ,229-0039,042-768-4536,048-499-3005,,,,
234,オルガノ㈱,表面処理設備の純水装置（イオン交換樹脂）,ISO9001取得無し,〇,×,×,×,〇,加工課,消耗品,千葉県船橋市潮見町８,,,047-434-0715,0466-97-3502,,,,
59,（株）テラオカ神奈川西支店,計量器,ISO9001取得無し,〇,×,×,×,〇,加工課,計量器,厚木市南町13-19,,,046-229-2250,046-229-3380,,,,
764,東莞美対精密電子有限公司,エンボステープ,ISO9001取得有り,〇,〇,△,×,〇,加工課,梱包資材,,,,,,,,,
874,㈱　トミタ,MITUTOYO原器の構成、エンボステープ,ISO9001取得無し,〇,×,×,×,〇,加工課,測定器、エンボステープ,神奈川県伊勢原市高森3-1-4,,,0463-91-3250,0463-91-3256,,,,
926,テルヤ電機 (株),自動機用パーツ,ISO9001取得無し,〇,×,×,×,〇,技術部,自動機ﾊﾟｰﾂ,神奈川県厚木市栄町2-8-8,,,0462-44-3911,0462-44-3985,,,,
15,（株）イイダ,商社　色々なものを購入している,ISO9001取得無し,〇,×,×,×,〇,加工課,消耗品,神奈川県厚木市妻田西1-31-40,松井産業第5ビル103,243－0815,046－223－3401,046-223－2474,,,,
1184,世紀㈱,成形用ヒーター,ISO9001取得有り,〇,×,×,×,〇,技術部,金型部品,東京都中央区日本橋本町3-9-4,,,03-66904201,03-6690-4204,,,,
1011,川島金属,金型ダイセット,ISO9001取得有り,〇,×,×,×,〇,技術部,金型部品,埼玉県川口市江戸1-11-28,,,048-284-4711,048-282-5258,,,,
984,㈱関東機工,プレス機点検,ISO9001取得無し,〇,×,×,×,〇,加工課,設備管理,神奈川県相模原市緑区橋本台1-27-21,,,042-773-5517,042-772-6673,,,,
1148,アルミネ,アルミネ,ISO9001取得有り,〇,〇,△,×,〇,加工課,材料,東京都千代田区大手町2-1-1,大成大手町ビル14階,100-0004,03-3245-1700,03-3245-1730,,,,
1137,㈱菱光社,Nikon測定器,ISO9001取得有り,〇,〇,△,×,〇,加工課,材料,東京都千代田区大手町2-1-1,大成大手町ビル14階,100-0004,03-3245-1700,03-3245-1730,,,,
